XYZ (13541 points)
6964.166 3677.207 70.000
7007.559 3668.970 70.000
7039.683 3662.872 70.000
7080.906 3655.047 69.995
6875.750 3895.113 70.000
6879.463 3867.692 70.000
6882.874 3842.509 70.000
6885.923 3819.987 70.000
6888.614 3800.118 70.000
6890.981 3782.637 67.816
6893.075 3767.175 70.000
6894.946 3753.356 70.000
4612.299 4393.268 99.984
6898.201 3729.320 68.162
6899.659 3718.551 70.000
6901.045 3708.314 70.000
6902.385 3698.416 68.485
6514.143 3574.403 68.706
6635.786 3475.906 70.001
6754.106 3286.580 69.538
4633.926 4392.686 99.424
7101.529 2979.054 56.942
6502.149 3624.477 66.919
6490.829 3671.736 70.001
5784.257 4001.508 79.526
6463.100 3787.502 70.001
6598.572 3506.039 66.657
6558.139 3538.779 60.000
6736.886 3314.134 61.162
6719.094 3342.603 52.721
6700.224 3372.797 50.387
6679.952 3405.236 60.484
6658.305 3439.874 70.000
6848.102 3215.391 70.000
6824.603 3233.188 70.001
6801.104 3250.986 70.001
6777.605 3268.783 70.001
4729.504 4143.071 90.000
7007.166 3021.569 67.792
6912.804 3064.085 60.001
6865.622 3085.342 60.001
7139.118 2958.170 68.483
5996.091 4015.115 70.465
7013.759 2494.480 54.811
4679.678 4390.240 90.208
4720.090 4143.183 90.000
6997.758 2590.500 50.005
7046.659 2664.099 50.777
7089.245 2728.192 68.284
4747.182 4144.494 90.000
4738.343 4143.782 87.969
7133.407 2512.545 59.952
7588.245 2693.836 50.165
7436.044 2619.720 49.994
7347.637 2576.669 49.995
7780.385 2684.266 58.773
7714.505 2707.149 53.937
7931.544 2805.047 70.000
7896.260 2736.532 69.997
8106.670 2821.690 50.982
8029.820 2844.821 52.415
8252.242 2976.237 59.926
8225.420 2891.851 50.176
8515.662 3133.605 44.331
8463.357 3115.419 50.093
8406.092 3095.509 53.184
8342.985 3073.568 59.784
8697.089 3728.648 50.227
8617.884 3836.686 50.172
4688.478 4385.271 90.369
4697.277 4380.303 90.841
4706.076 4375.334 90.582
4714.875 4370.366 90.536
8662.563 3775.741 50.207
8483.239 3994.533 60.000
8306.497 4022.821 69.999
7741.088 3612.246 53.132
7785.269 3664.098 50.000
7832.742 3719.814 40.001
7884.621 3780.701 49.763
7940.951 3846.812 50.012
7576.378 3637.488 62.840
7641.526 3597.474 70.000
4723.675 4365.397 90.000
7429.579 3468.656 60.000
7449.380 3527.546 57.227
7473.711 3599.907 41.648
4732.474 4360.429 90.000
4741.273 4355.460 90.000
8259.013 1587.315 30.000
4750.073 4350.492 90.000
9198.624 1617.107 48.476
5040.124 4430.779 90.000
8649.268 2174.094 40.012
8787.445 2228.634 40.000
8907.017 2275.830 40.000
8282.458 1938.183 48.410
8405.061 1561.002 30.000
9036.745 1596.503 49.885
8874.866 1575.898 39.994
9662.354 1707.448 30.029
9507.777 1677.335 30.655
9353.200 1647.221 40.000
9764.142 2017.104 29.993
9950.162 2529.090 24.642
8629.246 2998.504 35.661
4829.540 4362.369 90.000
9915.307 2461.553 29.882
9832.352 2300.815 30.000
9787.771 2214.432 29.993
8607.915 2926.071 40.118
8857.977 2462.353 40.126
8782.910 2535.663 43.557
8707.845 2608.973 40.000
8632.778 2682.284 40.016
5050.484 4432.119 90.000
9709.384 3678.514 40.000
5060.844 4433.458 90.000
5071.204 4434.798 90.000
4839.112 4365.479 90.000
4848.684 4368.588 90.000
8806.034 3809.596 59.595
10075.240 3796.960 40.000
10157.834 3721.058 30.005
10240.427 3645.155 31.600
9898.227 3808.080 40.003
9224.093 3693.319 31.318
9292.498 3691.232 30.000
9364.772 3689.028 30.723
9442.489 3686.656 30.742
9526.468 3684.094 31.198
9616.177 3681.358 32.566
9278.812 4318.830 39.993
9261.013 4227.230 49.999
9244.063 4139.993 50.000
9228.016 4057.400 57.285
9212.821 3979.200 60.000
9198.360 3904.777 50.691
9184.472 3833.297 43.785
9170.972 3763.817 39.391
9207.793 4518.071 34.195
9022.711 4321.786 40.000
9061.091 4423.552 40.001
8843.624 4144.458 40.000
8632.587 4100.787 36.629
8753.880 3866.183 70.000
8694.369 3930.750 60.194
8752.951 3691.806 40.000
8798.424 3722.251 40.046
8604.585 3057.229 30.856
8583.458 3107.538 37.119
10532.830 2461.282 30.000
11349.610 2237.649 13.153
10437.508 2472.375 39.995
10345.011 2483.140 39.888
10257.234 2493.354 40.000
10174.754 2502.953 40.000
10097.003 2512.001 24.782
11145.415 2293.557 30.000
11043.317 2321.511 30.000
10941.221 2349.466 30.000
10839.123 2377.420 30.000
10737.025 2405.374 30.000
10634.928 2433.328 30.000
4858.256 4371.698 90.000
11193.660 4047.057 30.004
4867.828 4374.807 90.000
11538.498 3755.138 30.000
11622.778 3649.780 30.000
10775.340 4057.393 30.144
10914.780 4053.947 30.039
11054.220 4050.502 30.009
10374.926 3650.804 39.833
10430.183 3737.622 34.639
10491.762 3834.372 40.000
10561.033 3943.209 30.005
11453.695 2195.480 20.405
3973.571 4923.472 99.996
3859.756 5175.036 99.983
4877.400 4377.917 90.000
3798.200 4969.766 100.000
4886.972 4381.026 90.000
4896.544 4384.136 90.000
3522.340 5209.719 100.000
3214.159 5285.595 98.431
4906.116 4387.246 90.000
4915.688 4390.355 90.000
4925.260 4393.464 90.000
4934.832 4396.574 90.000
4944.404 4399.684 90.000
2864.649 5655.729 100.000
4953.976 4402.793 90.000
4963.548 4405.903 90.000
2207.569 5340.905 100.000
2361.762 5277.165 100.000
4973.120 4409.012 90.000
2578.088 5283.935 100.000
2691.661 5232.235 100.000
2771.842 5124.481 99.993
4982.692 4412.122 90.000
2896.654 4924.850 100.000
2788.048 4813.410 100.000
4992.264 4415.231 90.000
3081.630 4883.471 100.000
5001.836 4418.341 90.000
5011.408 4421.450 90.000
3347.447 4453.992 100.000
5020.980 4424.560 90.000
5030.552 4427.669 87.985
4768.967 4347.930 90.000
4779.063 4350.336 90.000
3657.568 4370.964 100.000
4789.158 4352.743 90.000
3904.389 4092.456 99.956
4799.254 4355.149 90.000
4809.349 4357.556 90.000
4819.445 4359.962 90.000
4870.791 4096.852 90.000
5928.580 4585.368 70.000
4063.876 4846.847 99.987
2273.247 5803.827 100.000
5954.421 4575.813 70.000
5980.262 4566.256 70.000
5173.926 3937.290 90.093
1703.541 5752.648 100.000
1463.775 5814.182 94.719
4900.007 4156.794 90.000
4890.354 4156.017 90.000
1045.610 5742.599 100.000
948.959 5748.815 100.000
781.348 5803.641 100.000
4880.700 4155.240 90.000
666.839 5873.087 100.000
702.921 5795.141 100.000
4871.047 4154.463 90.000
4861.394 4153.686 90.000
4851.740 4152.909 90.000
4842.086 4152.132 90.000
619.834 5099.195 100.000
700.998 5060.773 100.000
4832.433 4151.355 90.000
4822.780 4150.578 90.000
889.862 5413.787 100.000
1030.542 5488.737 100.000
1188.971 5551.623 100.000
1347.038 5584.174 100.000
1589.812 5531.904 100.000
1978.875 5225.570 100.000
4813.126 4149.801 90.000
2045.328 5325.831 98.872
3878.725 5133.109 99.993
3897.694 5091.182 99.998
3916.664 5049.254 99.997
3935.633 5007.327 99.709
